algorithm_metric_id,algorithm_name,algorithm_version,metric_name,output,sample_type,start_date,end_date,country,population_name,population_details,sample_size,value,lower_ci95,upper_ci95,value_details,reference
1,EnsoSleep,N/A,sensitivity,Sleep-Wake staging,validation,,,NR,Adult,"""Demographics including sex, age, BMI, weight, and height, to establish representative adult (N=100) PSG studies from which PPG samples were obtained.""
Double blinded scoring was prospectively collected for each PSG by 3 experienced RPSGTs randomized from a pool of 6 scorers. RR was established by mode when two scorers agreed on RR value and median otherwise."" Country and date ranges not reported.",100,0.96,NR,NR,"""AI EEG-S/W demonstrated 96%/94%/95% Sensitivity, Specificity, and Accuracy compared to RPSGT 2/3 consensus PSG staging.""","Watson NF, Fernandez C, Rusk S, et al. Clinical Validation of Artificial Intelligence (AI) Analysis of Photoplethysmogram (PPG) Based Sleep-Wake Staging, Total Sleep Time, and Respiratory Rate."
2,EnsoSleep,N/A,specificity,Sleep-Wake staging,validation,,,NR,Adult,"""Demographics including sex, age, BMI, weight, and height, to establish representative adult (N=100) PSG studies from which PPG samples were obtained.""
Double blinded scoring was prospectively collected for each PSG by 3 experienced RPSGTs randomized from a pool of 6 scorers. RR was established by mode when two scorers agreed on RR value and median otherwise."" Country and date ranges not reported.",100,0.94,NR,NR,"""AI EEG-S/W demonstrated 96%/94%/95% Sensitivity, Specificity, and Accuracy compared to RPSGT 2/3 consensus PSG staging.""","Watson NF, Fernandez C, Rusk S, et al. Clinical Validation of Artificial Intelligence (AI) Analysis of Photoplethysmogram (PPG) Based Sleep-Wake Staging, Total Sleep Time, and Respiratory Rate."
3,EnsoSleep,N/A,accuracy,Sleep-Wake staging,validation,,,NR,Adult,"""Demographics including sex, age, BMI, weight, and height, to establish representative adult (N=100) PSG studies from which PPG samples were obtained.""
Double blinded scoring was prospectively collected for each PSG by 3 experienced RPSGTs randomized from a pool of 6 scorers. RR was established by mode when two scorers agreed on RR value and median otherwise."" Country and date ranges not reported.",100,0.95,NR,NR,"""AI EEG-S/W demonstrated 96%/94%/95% Sensitivity, Specificity, and Accuracy compared to RPSGT 2/3 consensus PSG staging.""","Watson NF, Fernandez C, Rusk S, et al. Clinical Validation of Artificial Intelligence (AI) Analysis of Photoplethysmogram (PPG) Based Sleep-Wake Staging, Total Sleep Time, and Respiratory Rate."
4,EnsoSleep,N/A,sensitivity,Total Sleep Time,validation,,,NR,Adult,"""Demographics including sex, age, BMI, weight, and height, to establish representative adult (N=100) PSG studies from which PPG samples were obtained.""
Double blinded scoring was prospectively collected for each PSG by 3 experienced RPSGTs randomized from a pool of 6 scorers. RR was established by mode when two scorers agreed on RR value and median otherwise."" Country and date ranges not reported.",100,0.90,NR,NR,"""AI EEG-S/W demonstrated 96%/94%/95% Sensitivity, Specificity, and Accuracy compared to RPSGT 2/3 consensus PSG staging. AI PPG-S/W demonstrated 90%/89%/90% Sensitivity, Specificity, and Accuracy compared to the same PSG panel.""","Watson NF, Fernandez C, Rusk S, et al. Clinical Validation of Artificial Intelligence (AI) Analysis of Photoplethysmogram (PPG) Based Sleep-Wake Staging, Total Sleep Time, and Respiratory Rate."
5,EnsoSleep,N/A,specificity,Total Sleep Time,validation,,,NR,Adult,"""Demographics including sex, age, BMI, weight, and height, to establish representative adult (N=100) PSG studies from which PPG samples were obtained.""
Double blinded scoring was prospectively collected for each PSG by 3 experienced RPSGTs randomized from a pool of 6 scorers. RR was established by mode when two scorers agreed on RR value and median otherwise."" Country and date ranges not reported.",100,0.89,NR,NR,"""AI EEG-S/W demonstrated 96%/94%/95% Sensitivity, Specificity, and Accuracy compared to RPSGT 2/3 consensus PSG staging. AI PPG-S/W demonstrated 90%/89%/90% Sensitivity, Specificity, and Accuracy compared to the same PSG panel.""","Watson NF, Fernandez C, Rusk S, et al. Clinical Validation of Artificial Intelligence (AI) Analysis of Photoplethysmogram (PPG) Based Sleep-Wake Staging, Total Sleep Time, and Respiratory Rate."
6,EnsoSleep,N/A,accuracy,Total Sleep Time,validation,,,NR,Adult,"""Demographics including sex, age, BMI, weight, and height, to establish representative adult (N=100) PSG studies from which PPG samples were obtained.""
Double blinded scoring was prospectively collected for each PSG by 3 experienced RPSGTs randomized from a pool of 6 scorers. RR was established by mode when two scorers agreed on RR value and median otherwise."" Country and date ranges not reported.",100,0.90,NR,NR,"""AI EEG-S/W demonstrated 96%/94%/95% Sensitivity, Specificity, and Accuracy compared to RPSGT 2/3 consensus PSG staging. AI PPG-S/W demonstrated 90%/89%/90% Sensitivity, Specificity, and Accuracy compared to the same PSG panel.""","Watson NF, Fernandez C, Rusk S, et al. Clinical Validation of Artificial Intelligence (AI) Analysis of Photoplethysmogram (PPG) Based Sleep-Wake Staging, Total Sleep Time, and Respiratory Rate."
7,EnsoSleep,N/A,ROC AUC,Sleep-Wake staging,validation,,,NR,Adult,"""Demographics including sex, age, BMI, weight, and height, to establish representative adult (N=100) PSG studies from which PPG samples were obtained.""
Double blinded scoring was prospectively collected for each PSG by 3 experienced RPSGTs randomized from a pool of 6 scorers. RR was established by mode when two scorers agreed on RR value and median otherwise."" Country and date ranges not reported.",100,0.96,NR,NR,"""Receiver operating characteristic (ROC) curves comparing sleep/wake (S/W) differentiation for A) AI PPG-S/W vs. RPSGT 2/3 consensus-S/W and B) AI EEG-S/W vs RPSGT 2/3 consensus-S/W from over 92,000 epochs of sleep from 100 patients. The AUC was robust for both AI PPG-S/W (0.96) and AI EEG-S/W (0.99) indicating both methods are highly accurate at differentiating sleep from wake.""","Watson NF, Fernandez C, Rusk S, et al. Clinical Validation of Artificial Intelligence (AI) Analysis of Photoplethysmogram (PPG) Based Sleep-Wake Staging, Total Sleep Time, and Respiratory Rate."
8,EnsoSleep,N/A,ROC AUC,Total Sleep Time,validation,,,NR,Adult,"""Demographics including sex, age, BMI, weight, and height, to establish representative adult (N=100) PSG studies from which PPG samples were obtained.""
Double blinded scoring was prospectively collected for each PSG by 3 experienced RPSGTs randomized from a pool of 6 scorers. RR was established by mode when two scorers agreed on RR value and median otherwise."" Country and date ranges not reported.",100,0.98,NR,NR,"""Receiver operating characteristic (ROC) curves comparing sleep/wake (S/W) differentiation for A) AI PPG-S/W vs. RPSGT 2/3 consensus-S/W and B) AI EEG-S/W vs RPSGT 2/3 consensus-S/W from over 92,000 epochs of sleep from 100 patients. The AUC was robust for both AI PPG-S/W (0.96) and AI EEG-S/W (0.99) indicating both methods are highly accurate at differentiating sleep from wake.""","Watson NF, Fernandez C, Rusk S, et al. Clinical Validation of Artificial Intelligence (AI) Analysis of Photoplethysmogram (PPG) Based Sleep-Wake Staging, Total Sleep Time, and Respiratory Rate."
9,PPD risk prediction model (Zhang et al),N/A,ROC AUC,Diagnosis of postpartum depression (1 year after childbirth),development,1/1/2015,6/30/2018,United States,Postpartum people,"""Two EHR datasets containing data on 15,197 women from 2015 to 2018 at a single site, and 53,972 women from 2004 to 2017 at multiple sites were used as development and validation sets, respectively, to construct the PPD risk prediction model.""",15197,0.937,0.912,0.962,"""The model performances as measured by area under the receiver operating characteristic curve (AUC) are 0.937 (95% CI 0.912 - 0.962) and 0.886 (95% CI 0.879-0.893) in the development and validation datasets, respectively.""","Zhang Y, Wang S, Hermann A, Joly R, Pathak J. Development and validation of a machine learning algorithm for predicting the risk of postpartum depression among pregnant women. Journal of Affective Disorders. 2021;279:1-8. doi:10.1016/j.jad.2020.09.113"
10,PPD risk prediction model (Zhang et al),N/A,ROC AUC,Diagnosis of postpartum depression (1 year after childbirth),validation,1/1/2015,6/30/2018,United States,Postpartum people,"""Two EHR datasets containing data on 15,197 women from 2015 to 2018 at a single site, and 53,972 women from 2004 to 2017 at multiple sites were used as development and validation sets, respectively, to construct the PPD risk prediction model.""",53972,0.886,0.879,0.893,"""The model performances as measured by area under the receiver operating characteristic curve (AUC) are 0.937 (95% CI 0.912 - 0.962) and 0.886 (95% CI 0.879-0.893) in the development and validation datasets, respectively.""","Zhang Y, Wang S, Hermann A, Joly R, Pathak J. Development and validation of a machine learning algorithm for predicting the risk of postpartum depression among pregnant women. Journal of Affective Disorders. 2021;279:1-8. doi:10.1016/j.jad.2020.09.113"
